"Search optimizers","Optimisations du moteur de recherche"
"Search optimizers analysis","Analyse des optimisations du moteur de recherche"
"No","Non"
"Yes","Oui"
"Optimizer Information","Information sur l'optimiseur"
"Boost configuration","Configuration du boost"
"Global configuration","Configuration globale"
"General Information","informations générales"
"Optimizer Name","Nom de l'optimiseur"
"Activation","Activation"
"Status","Statut"
"Enabled","Activé"
"Disabled","Désactivé"
"Store View","Vue magasin"
"From Date","Date de début"
"To Date","Date de fin"
"Query type","Type de requête"
"Edit optimizer","Editer l'optimiseur"
"Save optimizer","Sauvegarder l'optimiseur"
"Delete optimizer","Supprimer l'optimiseur"
"Save and Continue Edit","Sauvegarder et continuer l'édition"
"Edit optimizer '%s'","Editer l'optimiseur '%s'"
"New optimizer","Nouvel optimiseur"
"%s [%s]","%s [%s]"
"Name","Nom"
"Model","Modèle"
"Store View","Vue magasin"
"Create optimizer","Créer un optimiseur"
"Optimizer type","Type d'optimiseur"
"Add New Optimizer","Nouvel optimiseur"
"Search","Recherche"
"Optimization","Optimisation"
"Search optimizer","Search optimizer"
"This optimizer no longer exists.","L'optmiseur n'existe plus."
"Edit optimizer","Editer l'optimiseur"
"The optimizer has been saved..","L'optimiseur a été sauvegardé."
"The optimizer has been deleted.","L'optimiseur a été supprimé."
"Unable to find an optimizer to delete.","Impossible de trouver l'optimiseur à supprimer."
"--Please Select--","--Sélectionner--"
"Search Optimizers Analysis","Analyse des optimisations du moteur"
"Compute optimizer rules and index them as percolator for analysis.","Calcule les régles et les indexe comme percolateur du moteur."
"Configuration","Configuration"
"Apply to products","Appliquer aux produits"
"Conditions","Conditions"
"Boost value (%)","Valeur du boost (%)"
"Between -99 and 10000","Entre -99 et 10000"
"Popularity type","Type de popularité"
"Product bought","Produits achetés"
"Product viewed","Products vus"
"Scale function","Fonction"
"Logarithmic","Logarithmique"
"Square root","Racine carée"
"Linear","Linéaire"
"Scale factor","Facteur multiplicateur"
"Value the field will be multiplied by the value before applying the scale function","Multiplicateur appliqué à la valeur avant la fonction"
"Search engine","Moteur de recherche"
"Optimizations","Optimisations"
"Popularity","Popularité"
"Constant score","Constante"
"Catalog product search query","Requête de recherche produit fulltext"
"Catalog product category listing","Requête de listing produit des categorie"
"Optimizer boost detail :","Détail des optimisations :"
"Optimizer name","Nom"
"Apply to","Appliquer à"
"Is applied","Applicable au produit"
"Boost value","Valeur du boost"
"N/A","N/A"
"Edit","Modifier"
"Not optimized results","Résultats non optimisés"
"Optimized results","Résultats optimisés"
No search result for "%s",Aucun résultat pour "%s"
"Preview :","Prévisualisation :"
"Fulltext query :","Requête :"
"Refresh","Raffraichir"
"Please type a search query before launching preview.","Veuillez saisir une requête avant de lancer la prévisualisation"
"Store view","Vue magasin"