"Smile Tracker Section","Section tracking de Smile Searchandising Suite"
"Tracking","Tracking"
"Global Configuration","Configuation générale"
"Tracking base URL","URL de base du tracking"
"Session","Session"
"Visit cookie name","Nom du cookie de visite"
"Visit cookie lifetime","Durée de vie du cookie de visite"
"Visitor cookie name","Nom du cookie visiteur"
"Visitor cookie lifetime","Durée de vie du cookie visiteur"
"In seconds (default is 3600 sec.).<br /> Without any activity under this delay we start a new visit.","En secondes (Valeur par défaut 3600 s.).</br />Sans activité durant ce délai une nouvelle visite est prise en compte."
"In day (default is 365 days).<br /> This cookie will be stick to the customer to allow multiple session aggregation.","En jours (Valeur par défaut 365 jours.). <br />Ce cookie permet de consolider les multiples visites d'une même personne."
"Enabled","Activer"